Sub #,Proof-read,Select your age range,Select your location
6487,Why are there three generations of elementary particles in the standard model of particle physics?,60-69,Dublin
6488,What did the very first stars to form in the early universe look like?,60-69,Dublin
6489,Can we produce an artificial photo-synthesis that is more efficient than plant-based photosynthesis and use it to make net-zero fuels?,60-69,Dublin
6490,I think researchers should explore alternative less painful ways to using needles to deliver medications / extract samples and so on and less painful ways to carry out diagnostic procedures such as endoscopies / biopsies etc. They should find better non-addictive ways to control pain. Nobody should have to suffer pain in this day and age.,60-69,Wicklow
6491,We should have more bins around areas because now that people are outdoors a lot more because of Covid. People are going out for walks a lot more then they used to and going on picnics aswell and there doesn’t seem to be enough bins around local areas for people to recycle their rubbish and to not litter as I seem to see a lot of rubbish on the ground and the streets. This would help our enviorment a lot more.,16-19,Dublin
6492,"The impact of animal farming on ecosystems, environment global warming whether reducing meat consumption is our path out of global warming.",16-19,Meath
6493,"Impact of providing proper waste management free of charge to financially vulnerable individuals. E.g reduction in dumping, burning waste",16-19,Meath
6494,Human composting as an environmentally friendly alternative to burial or cremation.,16-19,Meath
6495,Looking into the 'green tax I.e. the extra cost when buying a more sustainable version of a product versus the regular.,16-19,Meath
6496,"Lab grown meat. The Global expansion, reducing costs, environmental impact, ethics.",16-19,Meath
6497,The standard of knowledge of doctors and research funding in endometriosis is both low and appalling respectively.  This highly prevalent condition is routinely misdiagnosed and women can wait 10 years for accurate assessment. Therapies do not treat the causes of the chronic pain condition because there is so little scientific understanding of it.  There are no specialists in Ireland.,50-59,Dublin
6498,"Irritable bowel syndrome (IBS) is a poorly diagnosed and poorly treated condition which afflicts thousands of people. There is low understanding of the biology of the different types of IBS and, apart from linaclotide, all that is currently offered is the poorly understood FODMAP diet.",50-59,Dublin
6499,Having a local gallery in Navan for art created by teens & young adults etc.,16-19,Meath
6500,Having a wider selection of Yyoung adult novels at the Navan library.,16-19,Meath
6501,Live music events (could be simple live piano) once a week.,16-19,Meath
6502,Having an (after school) art club / class for students.,16-19,Meath
6503,"The efficency of Irish Sporting Facilities and specifically the efficency and value for money or return on investment of our Primary & Post Primary School Sporting Facilities  -  Many of the existing and recent new builds are being built with indoor halls , gyms & concrete basketball courts -  that are not / rarely accessible to the public and wider community  out of school hours , weekends and holiday periods",40-49,Clare
6504,Free indoor facilities for teenagers.,16-19,Meath
6505,More leisure centre for teenage use.,16-19,Meath
6506,Teenage discos more often (local). Night time spots.,16-19,Meath
6507,A train station in Navan.,16-19,Meath
6508,Explore homeless issues.,16-19,Meath
6509,Why we die.,16-19,Meath
6510,Global warming.,16-19,Meath
6511,How to look after the front line workers mental health.,16-19,Meath
6512,Better healthcare.,16-19,Meath
6513,Sustainability.,16-19,Meath
6514,Global warming.,16-19,Meath
6515,The school system.,16-19,Meath
6516,Global warming.,16-19,Meath
6517,Why we die and what happens.,16-19,Meath
6518,Private health care rather than public health care (lower taxes).,16-19,Meath
6519,Unvaccinated covid19 people should be able to travel.,16-19,Meath
6520,The government should not support abortion.,16-19,Meath
6521,Country areas should need to get better roads. There are too many potholes.,16-19,Meath
6522,Take care of football pitches for teenagers to have where to go afterschool.,16-19,Meath
6523,Put more shops/facilities in rural areas.,16-19,Meath
6524,Mental health for young people in schools.,16-19,Meath
6525,"Better facilities in towns like parks, gyms and hospitals.",16-19,Meath
6526,Helping homeless by getting housing for them.,16-19,Meath
6527,More animal shelters.,16-19,Meath
6528,More homeless shelters.,16-19,Meath
6529,Women safety in public spaces.,16-19,Meath
6530,Don't have Leaving Certificate either written or predicted grades.,16-19,Meath
6531,Create a cheaper student accommodation.,16-19,Meath
6532,Solar panels for every house.,16-19,Leitrim
6533,Ways to women to feel safer in public.,16-19,Meath
6534,More homeless shelters.,16-19,Meath
6535,More environment/climate change programmes to help young people get involved.,16-19,Meath
6536,Making college living accommodation more affordable for students.,16-19,Meath
6537,Making transport to and from school easier for students who live in rural areas.,16-19,Meath
6538,Support mental health groups for young women across Ireland for those who have gone through difficult situations or they are going through something they want to have someone to call to (maybe they are having difficulty saying something to their family).,16-19,Meath
6539,"I think that researchers should analyze the roots of the problems we face, especially climate change. If people had clearer direction and common achievable goals, I believe that we could all do a lot more to combat climate change and other global issues. If the population was more focused on the roots of the problems, then maybe they could understand better the work that needs to be done and why. Education is key.",16-19,Dublin
6540,Is there any research done on accessibility for people with disabilities (not just wheelchair accessibility).  i.e. hand dexterity problem?,16-19,Meath
6541,"College should have a better system for people with mental health problems or someone in the spectrum, for example, to help them through the year. Not just a therapist but a buddy that can hang out with them to make them feel more included and important.",16-19,Meath
6542,Look into nuclear energy as an alternative to producing energy (no producing polluting gases).,16-19,Meath
6543,Creating a safer environment for student's mental health.,16-19,Meath
6544,"Educating the youth in regards to LGBT+ identities, while creating a safe environment for them to express themselves while keeping in mind they may not have been having support at home or may not want people at home to know.",16-19,Meath
6545,Educating children against prejudice.,16-19,Meath
6546,"Helping students find what way they wish to spend their futures, rather that expecting them to know.",16-19,Meath
6547,Improving the Irish language curriculum.,16-19,Meath
6548,Try to reduce the amount of homeless people.,16-19,Meath
6549,Better round bound system.,16-19,Meath
6550,"The ability if humans to recall yrics of song much more easily and for longer, than say poems etc.  Could we explore as a tool for learning for people who struggle to retain information? Why do we seem to easily recall songs from years ago when for ex we struggle to remember things we learned for exams etc ? Prob already explored but always wondered ??",40-49,Laois
6551,"How sex education is taught in schools. The curriculum is really broad and vague so many schools find ways to avoid having to teach it properly. It is a really outdated and non-inclusive curriculum that's in place at the moment.
LGBTQ+ information is really hard to come across anywhere but social media and young people need a reliable and trustworthy source. Young people should be consulted about what they know already.",16-19,Meath
6552,"Raise awareness of the cradle to the grave use of insulating products. The reason I think this is we found asbestos based and polystyrene. In one case we were told to ignore cover up. Display method of disposal and the lifespan on products. Include in a renovations in the safety file. 
To prevent this legislate for the hand over of the safety when a house is sold. Retrofitting will find God Knows.",60-69,Dublin
6553,"Ataxia Research especially spinocerebellar ataxia.

Research required to accelerate the development of treatments and a cure while working to improve the lives of those living with Ataxia.

Ataxia is a degenerative disease of the nervous system. People affected by Ataxia may experience problems with using their fingers and hands, arms, legs, walking, speaking or moving their eyes. Ataxia affects people of all ages",50-59,Louth
6554,"I think the researchers should explore male infertility. It is a growing problem and if this could be researched and resolved, it would save women having to go through fertility treatment due the ""quick-fix"" and money spinner of harvesting eggs from the female for injection by the sperm.",40-49,Dublin
6555,"Researchers should look into how to make breastfeeding more widespread and acceptable. They should also look into alleviating the ""guilt"" new mothers may feel if they are unable to/cannot breastfeed.
Also, researchers should promote the truth about breastfeeding - i.e. that it does and should hurt the first few weeks. It is the first time that breasts and nipples have been used to feed a baby for a number of hours.",40-49,Dublin
6556,"Researchers should look into self-assessment on simple medical issues using a questionnaire or Artificial Intelligence to assess risk of a serious or minor medical event. This could help to alleviate the pressure that local GPs are under. This can be done using a monitor or smart device for ""visual"" assessment for check-boxes, to assess temperature, take history, even assess eyesight or hearing difficulties",40-49,Dublin
6557,"Female health should be designed with female bodies in mind and not the current model of designing around male results, including hormone treatment, regular medications, heart disease.",40-49,Dublin
6558,"Menopause symptoms should be made part of the regular conversation and research into improved quality of life and not fobbing off as ""getting old/female/anything to get you out of the clinic...""",40-49,Dublin
6559,"The impact of menopause on women in the workforce. 

Women constitute a significant number in the workforce. The impact of menopause has potentially both personal implications and financial for companies and the economy.",50-59,Louth
6560,What’s going on with the increased presentation of anxiety among 18-23 year olds?,50-59,Louth
6561,"How to explore the depths of the ocean?
What type of equipment is needed to ensure that the pressure of the water stops exploration",50-59,Louth
6562,Further research on environmental friendly materials.,50-59,Louth
6563,Think big. Tackle the challenge of generating energy from nuclear fusion.,,Kilkenny
6564,"*Investigate sexual perversion in state institutions - power & abuse relationship.
*Healing & wellbeing after childhood sexual abuse. What does recovered look like?
*How to eat healthy on €5 a day social welfare.
*fluoride in Irish water. Why?",60-69,Wicklow
6565,"I think researchers should investigate how we could retrofit diesel cars to run on used vegetable/olive oil instead of diesel. Surely this would be much more environmentally friendly option than scrapping such vehicles? Electric vehicles are great, but the batteries are not environmentally friendly at all!",40-49,Meath
6566,I know how to build an electric vehicle that doesn't need charging everyday basically a wind powered generator inside front grill using a modern electric motor.,80-89,Cork
6567,The impact of robots completing simple task human would usually do on human metal health and motivation.,,
6568,I think researcher should explore the health and well being of second and third level students and how it could be improved or guided in the right direction.,16-19,Tipperary
6569,"Hi there 
I am an Orthodontist and I run a medical and dental clinic in Glasnevin Dublin. Since Covid hit our shores in last March the PPE required to run a medical and dental practice has quadrupled. 
My concern is this waste that is impacting on our planet. Evert day I see about 30 patients the minimum amount of gloves used and masks used is 4 per patient, that’s 600 gloves per week. Can we make recyclable PPE?",50-59,Dublin
6570,Building higher Buildings and perhaps a green field town/city that is made up of foreign investors from Singapore/ Hong Kong so that new investment will be attracted to Ireland.,,
6571,"I would be happy to fit Voltaic solar system to my house if I had an import export meter so I could feed into the grid.
Regards ",60-69,Cork
6572,Cost or environmental benefit of blocking up or taking down a chimney vs. heat lost from house.,50-59,Kildare
6573,Community planning should work on integrating all nationalities resident in Ireland into settled Irish communities rather than having non Irish born all housed in one part of a city.,60-69,Dublin
6574,Future planning to explore different size properties built in an area to enable older people to down size in their area.,60-69,Dublin
6575,Hydrogen as a fuel and energy source.,60-69,Dublin
6576,"L plates and N plates on cars. All cars should be fitted with a suitable slot/holder, front and rear, to hold the relevant disc which shows L or N. To be used when appropriate to the driver at the time. Offence if not displayed appropriately.",60-69,Clare
6577,"The size of indicators on cars is ever decreasing, making it almost impossible to see, especially when brake lights are also in use. Car makers should address this issue and increase ith size of the indicators on their cars (mpv's).",60-69,Clare
6578,"How to reduce, or ideally eliminate, the 'smell of pig farms'. Even before any slurry is spread on the fields, the smell permeates the entire locality particularly when slucing takes place. It must be possible to adjust the feed to lessen the smell but perhaps some form of technology could 'trap' and neutralise the smell before it dissipates into the 'ether'.",50-59,Laois
6579,Our rivers provided largely free energy for centuries. With the advent of electricity the mills fell into disuse (save a few ). I often wonder if that energy could be harnessed again and using the more technically efficient equipment available nowadays be a worthwhile contributor to local enterprise and perhaps the national grid.,70-79,Kilkenny
6580,I have been involved with assessing  durability and soundness of aggregates for concrete block manufacture & developing a freeze thaw and wetting drying test to ensure blocks can withstand high driving rain index and freezing / thawing conditions in Ireland. We Urgently need research on this to give out a proper understanding of the mechanisms that cause degradation.  Have tried funding through GSI but no success.,50-59,Kildare
6581,"I think the government should invest billions in Irish Water 
- to dramatically improve the quality of the water reaching Irish households .
- to improve the infrastructure of the water deliver systems to remove waste and leakage.
- to develop a simple method of testing the quality of the water coming from out taps.
- to demonstrate that the quality of the water coming from our taps is superior to any plastic water.",70-79,Laois
6582,"The government can then start a national drive to encourage people to stop buying water in plastic bottles. We would drastically reduce the  millions of plastic bottles we currently release into our environment. Imagine if other countries followed our lead. The oceans and fish would love us. We would have access to good quality, clean drinking water.
Next we could address our waste system.",70-79,Laois
6583,"Our curriculum is evolving rapidly to meet the needs of the future. How can we design physical classrooms, furniture, objects, materials better? Can we provide more flexible spaces in our schools to future proof them and stop seating students in rows and at desks? School spaces need to be redesigned to enhance thinking and give space to reflect, share ideas, and put knowledge into action. Look to Rosen Bosch designs",40-49,Wicklow
6584,"Renewable energy. 
A long term solution. Windfarms very profitable for businesses, but not very efficient. Scientists if not hampered or influenced by industry may find a longterm efficient solution.",60-69,Kerry
6585,"Are there small, relatively cheap, windmills that farmers, city dwellers with sizable gardens or anyone/organization with a bit of space might install to charge batteries for use by themselves and/ or others?",70-79,Kilkenny
6586,Marijuana because of its health benefits and its possibilities to help you relax.,20-29,Cork
6587,Period cramps and effective pain relief which works.,20-29,Cork
6588,Research into women’s health in particular pain relief that works during menstrual cramps beyond over-the-counter medication which requires multiple doses.,20-29,Cork
6589,Materials research into women’s tights looking from lasting material help improve sustainability.,20-29,Cork
6590,Condoms and contraception to create protection against STI’s and pregnancy but also that allow for enjoyment of sex.,20-29,Cork
6591,"As a depressive (I am medicated and fairly stable) I am on invalidity pension & grateful for it. 

However there are days/hours I am able to contribute. I wouldn't employ myself... I'm not predictable... BUT..

1) Is there a contribution model that could suit the likes of me.. other than badgering jouralists/politicians... when I am up to it?

2) further education options similarly?

3) writing as therapy..??

Thanks",50-59,Wexford
6592,"This is vauge, I apologise. 
Many people need decent technology (laptop/desktop etc) but I think the VAT model is nuts. Adding over a fifth to already expensive items let alone ""apps"", broadband etc.
What about a ""living tech standard"" concept?
eg every parent/child/educator is not only exempt from VAT but assisted by a ""minimum tech accessibility"" tax relief say 500 euro a year?
Thanks.",50-59,Wexford
6593,"We all think greenification is required, but I suggest that the market economy won't address it adequately or in time.

This model lands the expense at consumers. Our ""protection"" bodies now are more focused on competition than consumers.

What research has been done in Ireland to measure the ""benefits"" of (I suggest only tokenistic) competition. 

Insurance failures/profits?
Eirgrid or openeir products from VF/eir?",50-59,Wexford
6594,"We abandoned the process of collective bargaining many years ago, we seem to choose to divide society in every imaginable way from urban/rural, accessibility of services, public/private, farmers/consumers...

Yet more than at any time before CV-19 and the call to action over climate requires unity like never before??

Any research like Maynooth community courses years ago??
Cohesion? 
Thanks,
",50-59,Wexford
6595,"Science research..
1) kinetic roofing/pavement... it tends to rain here.. capture the energy and combine with solar??
2) energy/waste grant options open to residents associations/horrible management company... clubs/societies etc. Trials/buyin/relate to people/ownership/involvement/cohesion???
3) micro turbines for garden.. see the many options for ""safe/bladeless"" (eg YouTube ""just have a think"" etc).
Thanks,",50-59,Wexford
6596,"I think researchers should explore creating a protocol in every hospital that supports hard-of hearing or deaf patients in their interaction with staff.
1.  The latest technology should be employed.
2. All staff from kitchen to consultants and management who interact with patients should be trained in it.
3. Patients should be assisted in using the protocol. Hospitals are not safe places for the DEA.",80-89,Galway
6597,The link between breastfeeding and sleep deprivation / stress levels / general mental health in mothers of newborns. I feel that breastfeeding is pushed so strongly for its minimal benefits (lower prevalence of gastrointestinal and respiratory infections for the period of breastfeeding) but nobody is looking at the huge tole it takes on the mother.,30-39,Cork
6598,"My idea, which I have been playing with for awhile now, is to create a game for todays adult. 
The working title is The Game of Life.

It is a game based on life missions, visions, goals and dreams and how when you take steps in real life to achieve those, you get to play it out in the game as you level up and receive rewards. 

Another world you can play inside while living in the real world. Life mirroring life.",40-49,Mayo
6599,"Removal of religious bodies from positions that influence decision making around health and education. There is no place for religious bias in private sector and this could be extended to cover all public spaces and services, ensuring that all active religions operate on an even level. Take down the crosses from on top of churches and officially reallocate property and land for public use.",,
6600,32 counties. Minus the exploitative organisations of British or religious interests. Begin by having effectively detached the catholic church from all positions of influence and improve and liberate public transport on the island of ireland.,,
6601,"Establish a non religious, non party, non corporate affiliated body which has the opportunity to identify directions of progress for state laws and practices and the power to present workable models and practical trials which demonstrate the value and benefits of national implementation.",,
6602,Adopt developments according to their merit and not their presumed political appeal. Expand the concept and reflect on the purpose of state provided education. Develop on the intentions of democratic principles by adopting existing technologies to foster wider involvement in politically aware practices. Significantly cut the wages of highest earning broadcasters and use the money to fund independent journalism.,,
6603,"Reframe the intention of the state finances to ensure protection and provision whatever the cost across health, education and housing. When this has been achieved, stick to it as the basic function of the state. Present greater opportunity for public engagement on the back of this priority of public representation.",,
6604,"More Research by economists & policy specialists to safeguard the  regular savings of ordinary citizens.

I have a modest income, and I save in a regular bank. However, I make almost no interest on my saving acc. This seems unfair.

I don't want to be irresponsible with my money and risk it on any speculation in stocks & shares whatsoever; especially with the memories of the Recession and the finance scandals.",30-39,Sligo
6605,"Promotion of electric cars is this shortsighted?  Almost 30 years ago 1 person in my college class had the privilege of bringing his father's car from his father's place of work.  No other student had a car.  Multiple options for getting to college were used to the optimum eg public/private buses, walking and cycling from rented accommodation and shared lifts with workers.  Why the cultural shift to car dependency?",40-49,Galway
6606,Does remote working have the potential to change our lives for the better or is it to the detriment of progressing people? Remote working significantly reduces environmental impacts associated with vehicle use and the resources required to maintain associated infrastructure I.e. from road building to car manufacturing to fuel sourcing. But are face to face interaction a critical part of development and well being.,40-49,Galway
6607,Has technology developed beyond a point where it is now becoming a distraction from focused learning. Covid has necessitated increased use of technology for online learning.  With the return to the classroom the use of technology has now moved on to homework being sent through online mediums. This inevitably has led to pressure for younger students to have mobile phones and apps to access homework. Is this a wise move?,40-49,Galway
6608,Can communities and businesses  benefit from sharing a remote working hub? Is there a precedent where shared community spaces can promote more rounded solutions  to real life problems. Start point through lunchtime Friday afternoon presentations problem/forums discussions. Multidisciplinary teams and businesses have greater potential to solve more complex problems.,40-49,Galway
6609,"Society is deeply unfair and economically unequal. There is no justification for this.

Research on legal instruments to compel wealthy individuals to pay their excess money (say all assets and income above Eur500,000) to the government, so we can spend that on Public Services, Poverty and Homelessness alleviation, and humanitarian aid incl. famine relief.

Research stronger investigative powers to prevent fraud.",30-39,Dublin
6610,I think researchers should explore if there are any mini home wind turbines that could be a viable solution for generating energy for Irish homes.,30-39,Galway
6611,There is too much emphasis on quota(quantity) in the fishing industry and not enough on quality of fish.If there was proper and independent inspection of the quality of fish being caught and penalties for substandard produce better value would be got from our limited quotas.I  am 35 years working in the  fishing Industry.The size limits of fish should be raised above the size at which they spawn to conserve stocks.,50-59,Cork
6612,"When the basics of health, education and housing have been provided for all, begin to deliver a system of public information practices concerning banking, politics and technology, focusing on their accessibility and enablement potentials.",,
6613,"Patients should be able to self refer for x-rays and MRI for sports related or non-life threatening issues. A person should not need to pay e60 for 15 minutes and then get a referral, taking up doctors time. There could be a national database request system with an approval from doctor (suggestion) and a flat nominal fee (eg e10 or e20) to mitigate potential abuse",40-49,Dublin
6614,"Research to achieve the eradication of Tuberculosis and Malaria, globally, by 2027.
How many lives will be lost in our delay?

How is it acceptable for 'high finance' and banks to rake in literally billions in private profits, and yet leave the poorest of the poor high and dry to die of disease or famine?

Irish research community needs to raise its moral profile - our voices matter in the global discussion.",30-39,Dublin
6615,"I've come across some slugs in my back garden causing nuisance. So I pick them up and move them to another area.
What I've noticed: they leave a slick on my fingers/hands which I struggle to remove with cleaning agents. Would this slick be useable as a coating on medicines? Medicines which are currently injected; e.g insulin, which otherwise may be taking orally, except that the medicine would be destroyed in the gut",,Limerick
6616,"I think we should be trying to inspire people to make our environment better by giving money back or credit off there property tax this could be achieved be house holder planting green areas with trees scrubs and small wildlife areas for butterfly and bees this would decrease our carbon footprint and would also bring down the cost of fines incurred be the EU, also solar panels, electric panels on roofs.",40-49,Laois
6617,Heating system changed. If people are paying for there property they should be allowed to bring the cost of the tax down by living more environmental clean lives if the government can see this it would create jobs and also keep people's carbon footprint down as our house are a big contributor.,40-49,Laois
6618,"Research on how to make Irish society fairer, with less poverty, economical inequality, sickness, and suffering.

Research on how to make Global society safer, with less wars and violence.

Research on how to make work life less competitive and stressful. We should all cooperate for the common good, and share benefits with everyone, esp. with those who have least. This is a system/structure issue. 
I am sincere.",30-39,Dublin
6619,"What kind of fungi grow in Irish bogs?

What new fungal species will be detected using new molecular techniques?

What physiological adaptations have fungi made to living in the unique ecology of bog?

Are there any interesting chemical compounds that these fungi make, for medicine, or for understanding basic fungus biology? Any on cryptic gene clusters?

Many research questions in this area.",30-39,Sligo
6620,"County council make a footpath to the Adare Manor golf club so teens can walk out with their clubs to play and tourists can walk to club for a nice lunch over looking the Course.
Can you erect signs along the roads letting us know what mountain ranges we are looking at especially over by the galtees and Waterford mountains.
Plant more Fruit trees in waste ground areas. 
Have covered bus shelters in every town.",50-59,Limerick
6621,"As we enter the town's and villages of Ireland there is always the sign saying Newcastle west, Adare, Boyle, Bansha ect.. but when we leave the place no sign saying goodbye Adare, Newcastle West, Boyle ect... Or even a sign with a red line thru it indicating which town we just passed. Please take note of this.",50-59,Limerick
6622,In Limerick city we need an all glass view restaurant/cafe overlooking the river Shannon and king John castle. It's needs to be inside as it rains a lot in Ireland and totally unobstructed by anything.,50-59,Limerick
6623,"How do different microorganisms withstand the sudden osmotic shock that comes from rainfall?

Can these several coping strategies be empirically studied, verified, and then categorised - hopefully leading to greater insights and unexpected discoveries?

For example, do only certain species make biofilms in response, and how quickly?
Are there special osmotic shock proteins, & how do they work?
Role for glycans?",30-39,Sligo
6624,"The building and extension of rural foot/cycling paths, which connect rural villages with bigger towns safely. this would give children to go/ cycle to and back from school safely and to clamp down on parents needing to drive their children to school.  It also makes country roads safer for walkers and runners.",30-39,Wexford
6625,"Park and ride spots along the motor way can promote car pooling to bigger cities and cut down on commute.
make train rides more affordable, including free parking at train stations can also promote switch from car to train to cut down on cars on road.",30-39,Wexford
6626,"Reward industry for sustainable measures eg supermarkets selling environmental friendly sourced food, cutting down on waste, introduction of a refund system for bottles and cans.",30-39,Wexford
6627,"How technology can empower and support individuals to live independently and access services and supports in their community, eg accessible info, menus, timetables, hospital appts., inclusive accessible information in different formats.  Changing places facility, accessible housing & buildings.  Ballinasloe as first disability friendly town where people of all abilities can live, work & visit.",30-39,Galway
6628,"Innovative techniques for production of alcohol-free beers and wines.

Research on anti-fouling processing tubing and filters for use in alcohol-free beer production.

New technical standards around non-alcoholic products to improve process understanding, quality, and safety.

Do certain new types of beer products lead to harmful Maillard reactions to the lining of the gut? How to prevent that? (Risk of cancer)",30-39,Dublin
6629,"Connected Health. 
Smart Town Planning.
Connect towns and villages.
Community groups.",,Galway
6630,"How to revitalize rural Ireland - in particular new ways to use town centres.  The old ""high street"" model no longer relevant.",,Galway
6631,"Energy storage:
Wind power is erratic + in order to make full use of it we need a way to store the energy produced by wind turbines. Instead of using batteries, wind energy should be used to pump water up to a reservoir and the use of hydro electric motors would even out these fluctuations. The reservoirs can be built in bays/fjords around our coast where the sea water is pumped up and then released back into the sea.",50-59,Wexford
6632,"Local archaeology and history.
Heritage of area.
Living heritage.",,
6633,Monitoring quality of water. Soil quality and water.,,
6634,"Vaping exposes users to toxic metals, poisoning their lungs and harming health. This wasn't previously known, but is now established.

I'd like to see more research:
1) Long term strategies to move smokers not only off tobacco, but also off of vaping, for good.
2) To reduce the known harms of existing vaping products on Irish market. (volatile heavy metals, high nicotine doses)

Current lack of regulation.",30-39,Dublin
6635,"I think researchers should explore how we could digitally disrupt the housing market. Bring together the various professions onto a platform, digitise the conveyancy, loan approval and purchase process to simplify, reduce cost and bring efficiencies to the house buying process. 

Why can't buying, renting or selling a home be as simple as any other commodity? Why has thid market been immune to digital transformation?",30-39,Dublin
6636,"Next level connectivity so people know what others are doing/thinking.
A central idea and activity registration - linking actions for concerted progress.
A version of the news/publication system that efficiently compiles needs.",,
6637,"Resource continuous use, just like nature.",,
6638,"Irish clinical trials testing the effectiveness of dressings, such as plasters, that have colloidal silver, or other dispersed forms silver in them.

Silver is known to be a potent antimicrobial, and to prevent infection. It helps in wound healing and is relatively inert.

It would be great to make this standard in health care and wound recovery - and so more research is needed, along with steps to trial this.",30-39,Sligo
6639,Support for people living in their home - rather than going into nursing homes.  Minister needed for seniors.  Very poor services for mental health services.,,
6640,G.P. practice - impossible to get an appointment - I may be 2 - 3 weeks waiting for same.,70-79,Galway
6641,"Wouldn't it be a great opportunity as a host country to so many global organisations to bring together their expertise, resources and funding and combine their resources with those of our government to tackle global problems like Climate Change, poverty etc.. Lead the way for the world in harnessing the power within each of these organisations and combine the efforts of each in a forum for action. Pharma, Tech, Fin.",30-39,Dublin
6642,Support for people living in their home rather than going into nursing homes.  Minister needed for seniors.,70-79,
6643,Very poor services for mental health services,70-79,
6644,Better protection for road users by management of hedgerows.  It is a huge problem for drivers.,70-79,Galway
6645,Accommodation for 3rd level students.,70-79,Galway
6646,"Genius visa/pass hub on St. Brigid's Hospital Campus consisting of 
1. investment fund, 2. accommodation, 3. visas for international bright spots, 4. infrastructure.",,
6647,Developing the potential of our bogs for education and wildlife regeneration,,
6648,Promoting the history of our area to promote tourism and engage the diaspora. eg museum.,,
6649,The efficacy of addiction treatment programmes in supporting clients to manage addiction and establish recovery thereby challenging the shaming stigma of addiction in Irish society.,50-59,Cork
6650,Ireland to be leaders in the creation of plastic replacement materials eg use of algae and other natural materials.,,Galway
6651,"Research the use of the Criminal Assets Bureau to recoup the ill-gotten compensation obtained by fraud in the Finance sector, whether in recent years from financial scams, or during the Celtic Tiger.

The Irish people should recover the money that was stolen by white-collar criminals in our finance industry. The Irish public should not be 'bailing out' these bad actors.

Accountancy Research to detect fraud.",30-39,Dublin
6652,I think the idea of recovering energy from footfall on pavements and tyre pressure on roads would be worthy of research.,70-79,Dublin
6653,"Carbon capture/sequestration in our boglands and wetlands.  Considering the half life of carbon is approx 33 years, the world will continue to warm up after we achieve net zero.  If we can help lead in carbon capture and restoration of bogs we can provide a better future. Bord Na Mona.",,Galway
6654,How to assist/encourage cultural diverse groups living in rural towns to actively engage in their community.,,Galway
6655,"Better integration in communities, focusing on social aspects, the development of a community centre to facilitate all sports, social spaces, host event and be made available to local community groups - ownership to community.",,Galway
6656,"Research on ID tagging and secure storage of firearms and munition belonging to the Irish Defence Forces, to ensure these dangerous weapons are not stolen, are secure, and can be located.

Greater international cooperation to reduce the risk of firearms falling into the hands of criminals, terrorists, or war-mongering states.

More Irish research on the elimination of landmines and cluster munitions globally.",30-39,Dublin
6657,"What is unique to be Irish or from Ireland. This is what visitors want to experience, our language, our  culture, our sports, history etc. A number of years ago I was involved with the provision of entertainment for pig farmers from all over the world, their highlight was getting up and attempting Irish dancing at a session and the us singing ""lá breithe shona duit, ...."" to one of their group and they all joined in.",50-59,Longford
6658,"Energy production, to be produced and controlled at a local level like a Group Water Scheme from the past. 100% funding for research of project up to €10,000. Then 85% up to €100,000 funding for design and finally 75% funding up to €1,000,000 funding for construction and energy leaving the tail of the project. 
Minimising objections, local jobs and local return on investment with probably 15 years pay back period.",50-59,Longford
6659,"Small, light weight, low technology cars either petrol or electric is the future (eg Tata Nano 700kg). 
Electric cars and the batteries have a lot of heavy metals and high carbon foot prints.
Conventional cars have not been developed (in comparison to aeroplanes or space flight), except for features and gadgets. The emphases must be on longer life, lower fuel consumption and minimise carbon print for whole  life.",50-59,Longford
6660,"Spirituality - The truth will set you free. We have lineage of faith development from Dolmens, rivers and land; spirits & druids; sun and moon gods; christianity and other modern gods.  
From Croagh Patrick, to lough derg etc. Also. Ireland has 3 World Heritage sites - Newgrange/SceiligMichil/ giantscauseway.  there are many more potential sites. listing increases visitors and all that comes with that.",50-59,Longford
6661,"Water driven power. 
Rates re-think.
Use rivers and streams in every town and village in Ireland to generate power to be fed into the national grid.",60-69,Galway
6662,Rethink how rates are charged to businesses.,60-69,Galway
6663,"Much more research on how to prevent Irish criminal gangs from engaging in money laundering.

We need to be better able to detect the proceeds of crime, so as to apprehend violent thugs and prevent further harm to our citizenry.

Clever researchers in academia and the Dept. of Finance, and the CAB, should be encouraged to innovate and develop sophisticated approaches, with the usual safeguards.",30-39,Dublin
6664,"Education to explain - a famine cultural park.  Ballinasloe is steeped in famine history - part of the old workhouse, famine graveyard.",50-59,Galway
6665,Outdoors nature - exercise activity incorporating river - Garbally? Something similar to Delphi.,50-59,Galway
6666,I would like to see a plan drawn up & priced for converting fossil fuel engines with electric. A government project Attached to the NCT centre drivers have the option to convert perfectly good cars to electric. 30kw minimum at no cost to car owner and if you want longer range you pay a minimal cost. Cars get recycled and power is stored in batteries for possible sell back to the grid. Carrot not a stick.,40-49,Westmeath
6667,"I believe the government should pay people for their rubbish. Pay by weight and how well it’s recycled. There would be no dumping. The rubbish dumped in hedges and bogs would be collected people would be paid In tax credits, by eft, donations to charities, pocket money for kids,  carbon credits!
Government sell rubbish to Sweden. See irelands recycling % go up. .
Carrot not stick",40-49,Westmeath
6668,"The cost of carbon fines that Ireland will face is big€€. Use that money to pay people to put solar on their homes, businesses and farms, help farmers convert their methane to energy to run their business.
This would be for domestic homes and small to medium businesses. Convert solid fuel to renewable, help people to have homes that don’t cost the ??to run.  Take the heavy load of the cost off people & business ??",40-49,Westmeath
